col_name,Présent,Imparfait,Passé simple,Passé composé,Futur,Plus que parfait,date,canon,subgenre
1954_San-Antonio_Messieurs-les-hommes,4770,165,11,481,80,20,1954,0,9
1957_Pagnol-Marcel_La-Gloire-de-mon-pere,3049,1348,848,359,103,206,1957,1,6
1957_Simenon-Georges_Maigret-voyage,2393,1227,440,654,61,195,1957,1,2
1845_Balzac-Honore-de_L-Elixir-de-longue-vie,388,189,194,48,21,24,1845,1,10
1884_Halt-Robert_Marianne,2741,1357,1397,455,157,180,1884,0,
1862_Dumas-Alexandre_La-princesse-Flora,3084,763,418,546,165,126,1862,1,
1887_Verne-Jules_Nord-contre-Sud,4849,2951,1617,1141,326,611,1887,1,1
2001_Millet-Catherine_La-Vie-Sexuelle-De-Catherine-M.,4080,1333,152,1008,65,215,2001,1,9
1878_Greville-Henry_Les-epreuves-de-Raissa,4536,1578,1990,843,191,451,1878,0,
1908_Le-Rouge-Gustave_Le-Prisonnier-de-la-planete-Mars,2539,1635,1283,670,128,442,1908,0,13
1874_Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_Tome-VIII,7838,2660,2523,1289,288,485,1874,0,3
1978_Boileau-Narcejac_L-age-bete,3648,1256,1120,545,208,238,1978,0,2
2013_Darrieussecq-Marie_Il-faut-beaucoup-aimer-les-hommes,2940,2380,584,450,24,401,2013,1,
1889_Guy-de-Maupassant_Fort-comme-la-mort,3467,2315,1496,462,98,381,1889,1,
1852_Dumas-Alexandre_La-comtesse-de-Charny,30745,10112,9523,5877,1732,2953,1852,1,1
1840_Dumas-Alexandre_Le-maitre-d-armes,5261,1921,1600,880,153,662,1840,1,1
1910_Ivoi-Paul-d-_Millionnaire-malgre-lui_tome-2,3640,977,1309,679,257,303,1910,0,1
1959_Queneau-Raymond_Zazie-Dans-Le-Metro,4815,463,667,446,113,53,1959,1,
1873_L-Epine-Ernest_La-vie-a-grand-orchestre--charivari-parisien,7401,720,442,1262,341,105,1873,0,
1882_Loti-Pierre_Mon-frere-Yves,3671,1998,417,709,113,386,1882,1,
1881_Loti-Pierre_Fleurs-d-ennui,4453,1225,265,703,124,219,1881,1,11
1984_Daeninckx-Didier_Le-Geant-Inacheve,2542,976,1112,782,81,167,1984,1,2
